__Recipe,RECIPE NAME:,,Bonsai Rolls 20
Bonsai Jade 32,MENU CATEGORY:,,Combinations,,1
Bonsai Jade 32,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Bonsai Jade 32,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Bonsai Jade 32,0.5,Un,1,Un,samurai salmon,4.102482518084491,Un,2.0512412590422455,Un,2.0512412590422455
Bonsai Jade 32,1,Un,1,Un,special anguila,4.005868454861111,Un,4.005868454861111,Un,4.005868454861111
Bonsai Jade 32,0.5,Un,1,Un,fire roll,2.44217580931713,Un,1.221087904658565,Un,1.221087904658565
Bonsai Jade 32,0.5,Un,1,Un,KANEBI,3.7810403890944806,Un,1.8905201945472403,Un,1.8905201945472403
Bonsai Jade 32,0.5,Un,1,Un,SAKE KANI,2.6646262783836976,Un,1.3323131391918488,Un,1.3323131391918488
Bonsai Jade 32,1,,1,Un,special california,1.9364677338324654,0,1.9364677338324654,0,1.9364677338324654
Bonsai Jade 32,1,,1,Un,vegie side,0.29,0,0.29,0,0.29
Bonsai Jade 32,1.76,,512,Oz(v),soy sauce,0.11080078125,0,0.19500937499999998,0,0.19500937499999998
Bonsai Jade 32,0.17,,5,LB,ginger,0.1875,0,0.031875,0,0.031875
Bonsai Jade 32,0.07,,2.2,LB,wasabi,0.45312499999999994,0,0.03171875,0,0.03171875
Bonsai Jade 32,,,,,,,TOTAL INGREDIENT COST,,,12.986101811133473
Bonsai Jade 32,,,,,,,15% Q FACTOR,,,1.2986101811133475
Bonsai Jade 32,,,,,,,RECIPE COST,,,14.28471199224682
Bonsai Jade 32,,,,,,,PORTION COST,,,0.07439954162628552
Bonsai Jade 32,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Bonsai Jade 32,,,,,,,TOTAL COST,,,14.859111533873104
Bonsai Jade 32,,,,,,,DESIRED FOOD COST %,,,0.3
Bonsai Jade 32,,,,,,,DESRIRED MENU PRICE,,,49.53037177957702
Bonsai Jade 32,,,,,,,CURRENT PRICE,,,50
Bonsai Jade 32,,,,,,,VARIANCE,,,0.46962822042298313
Bonsai Jade 32,,,,,,,ACTUAL FOOD COST,,,0.2971822306774621
