__Recipe,RECIPE NAME:,,Bonsai Kaiko
Bonsai Kaiko,MENU CATEGORY:,,Combinations,,1
Bonsai Kaiko,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Bonsai Kaiko,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Bonsai Kaiko,0.5,Un,1,Un,Special California,1.9364677338324654,Un,0.9682338669162327,Un,0.9682338669162327
Bonsai Kaiko,0.5,Un,1,Un,Special Anguila,4.005868454861111,Un,2.0029342274305555,Un,2.0029342274305555
Bonsai Kaiko,0.5,Un,1,Un,Spicy Tuna,3.3854178761999587,Un,1.6927089380999794,Un,1.6927089380999794
Bonsai Kaiko,0.5,Un,1,Un,Kanebi,3.7810403890944806,Un,1.8905201945472403,Un,1.8905201945472403
Bonsai Kaiko,0.5,Oz(w),1,Un,Samurai Ebi,4.294962322771991,Oz(w),2.1474811613859957,Oz(w),2.1474811613859957
Bonsai Kaiko,0.84,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),0.6798826086956521,Oz(w),0.6798826086956521
Bonsai Kaiko,0.84,Oz(w),22.8,LB,Salmon Noruego,0.71875,Oz(w),0.60375,Oz(w),0.60375
Bonsai Kaiko,0.84,Oz(w),20,LB,Tuna,0.746875,Oz(w),0.6273749999999999,Oz(w),0.6273749999999999
Bonsai Kaiko,0.25,Un,1,Un,Kani maguro,3.102080379946197,Un,0.7755200949865493,Un,0.7755200949865493
Bonsai Kaiko,2,Un,1,Un,Gunkan Kani,0.9873086653645833,Un,1.9746173307291666,Un,1.9746173307291666
Bonsai Kaiko,2,Un,1,Un,Gunkan Taco,1.2206728059895833,Un,2.4413456119791666,Un,2.4413456119791666
Bonsai Kaiko,2,Un,1,Un,Toki Salmon,1.025052039388021,Un,2.050104078776042,Un,2.050104078776042
Bonsai Kaiko,1,Un,1,Un,vegie side,0.29,Un,0.29,Un,0.29
Bonsai Kaiko,0.07,,2.2,LB,wasabi,0.45312499999999994,0,0.03171875,0,0.03171875
Bonsai Kaiko,0.17,,5,LB,ginger,0.1875,0,0.031875,0,0.031875
Bonsai Kaiko,1.76,,512,Oz(v),soy sauce,0.11080078125,0,0.19500937499999998,0,0.19500937499999998
Bonsai Kaiko,1.76,,1,Oz(v),eel sauce,0.49,0,0.8623999999999999,0,0.8623999999999999
Bonsai Kaiko,,,,,,,TOTAL INGREDIENT COST,,,19.26547623854658
Bonsai Kaiko,,,,,,,15% Q FACTOR,,,1.926547623854658
Bonsai Kaiko,,,,,,,RECIPE COST,,,21.192023862401236
Bonsai Kaiko,,,,,,,PORTION COST,,,0.11037512428333977
Bonsai Kaiko,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Bonsai Kaiko,,,,,,,TOTAL COST,,,21.802398986684576
Bonsai Kaiko,,,,,,,DESIRED FOOD COST %,,,0.3
Bonsai Kaiko,,,,,,,DESRIRED MENU PRICE,,,72.6746632889486
Bonsai Kaiko,,,,,,,CURRENT PRICE,,,87
Bonsai Kaiko,,,,,,,VARIANCE,,,14.325336711051406
Bonsai Kaiko,,,,,,,ACTUAL FOOD COST,,,0.250602287203271
