__Recipe,RECIPE NAME:,,Bonsai Rolls 20
Bonsai Rolls 20 (2),MENU CATEGORY:,,Combinations,,1
Bonsai Rolls 20 (2),RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Bonsai Rolls 20 (2),QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Bonsai Rolls 20 (2),0.5,Un,1,Un,Special California,1.9364677338324654,Un,0.9682338669162327,Un,0.9682338669162327
Bonsai Rolls 20 (2),0.5,Un,1,Un,special anguila,4.005868454861111,Un,2.0029342274305555,Un,2.0029342274305555
Bonsai Rolls 20 (2),0.5,Un,1,Un,Spicy Tuna,3.3854178761999587,Un,1.6927089380999794,Un,1.6927089380999794
Bonsai Rolls 20 (2),0.5,Un,1,Un,Samurai salmon,4.102482518084491,Un,2.0512412590422455,Un,2.0512412590422455
Bonsai Rolls 20 (2),0.5,Un,1,Un,Tokio,3.533862829861111,Un,1.7669314149305555,Un,1.7669314149305555
Bonsai Rolls 20 (2),1,,1,Un,vegie side,0.29,0,0.29,0,0.29
Bonsai Rolls 20 (2),1.76,,1,Oz(v),eel sauce,0.49,0,0.8623999999999999,0,0.8623999999999999
Bonsai Rolls 20 (2),1.76,,512,Oz(v),soy sauce,0.11080078125,0,0.19500937499999998,0,0.19500937499999998
Bonsai Rolls 20 (2),0.17,,5,LB,ginger,0.1875,0,0.031875,0,0.031875
Bonsai Rolls 20 (2),0.07,,2.2,LB,wasabi,0.45312499999999994,0,0.03171875,0,0.03171875
Bonsai Rolls 20 (2),,,,,,,TOTAL INGREDIENT COST,,,9.893052831419565
Bonsai Rolls 20 (2),,,,,,,15% Q FACTOR,,,0.9893052831419565
Bonsai Rolls 20 (2),,,,,,,RECIPE COST,,,10.882358114561521
Bonsai Rolls 20 (2),,,,,,,PORTION COST,,,0.05667894851334126
Bonsai Rolls 20 (2),PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Bonsai Rolls 20 (2),,,,,,,TOTAL COST,,,11.439037063074862
Bonsai Rolls 20 (2),,,,,,,DESIRED FOOD COST %,,,0.3
Bonsai Rolls 20 (2),,,,,,,DESRIRED MENU PRICE,,,38.130123543582876
Bonsai Rolls 20 (2),,,,,,,CURRENT PRICE,,,44
Bonsai Rolls 20 (2),,,,,,,VARIANCE,,,5.869876456417124
Bonsai Rolls 20 (2),,,,,,,ACTUAL FOOD COST,,,0.2599781150698832
