__Recipe,RECIPE NAME:,,Octopus By Fay Tu
By Fay Tu Oct,MENU CATEGORY:,,Hot Entrees,,1
By Fay Tu Oct,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
By Fay Tu Oct,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
By Fay Tu Oct,4.7,Oz(w),1,LB,octopus low,0.700625,Oz(w),3.2929375000000003,Oz(w),3.2929375000000003
By Fay Tu Oct,0.84,Oz(w),16,Oz(w),Wantan,0.249375,Oz(w),0.209475,Oz(w),0.209475
By Fay Tu Oct,4,Oz(w),25,LB,Avocado,0.115,Oz(w),0.46,Oz(w),0.46
By Fay Tu Oct,0.71,Oz(w),25,LB,Carrot,0.035,Oz(w),0.02485,Oz(w),0.02485
By Fay Tu Oct,0.18,Oz(w),6,LB,Papanabo,0.15625,Oz(w),0.028124999999999997,Oz(w),0.028124999999999997
By Fay Tu Oct,0.18,Oz(w),100,Un,Bambo leaf,0.159,Oz(w),0.02862,Oz(w),0.02862
By Fay Tu Oct,1,Un,1,Un,Cherry tomato,3,Un,3,Un,3
By Fay Tu Oct,0.18,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.26325,Oz(w),0.26325
By Fay Tu Oct,0.08,Oz(w),5,LB,Pepper,1.5550000000000002,Oz(w),0.12440000000000001,Oz(w),0.12440000000000001
By Fay Tu Oct,0.04,Oz(w),25,LB,Salt,0.02875,Oz(w),0.00115,Oz(w),0.00115
By Fay Tu Oct,0.35,Oz(w),25,LB,Persian onion,0.0287,Oz(w),0.010045,Oz(w),0.010045
By Fay Tu Oct,,,,,,,TOTAL INGREDIENT COST,,,7.4428525
By Fay Tu Oct,PROCEDURE:,,,,,,15% Q FACTOR,,,0.74428525
By Fay Tu Oct,,,,,,,RECIPE COST,,,8.18713775
By Fay Tu Oct,,,,,,,PORTION COST,,,0.04264134244791667
By Fay Tu Oct,,,,,,,ADDITIONAL COST,,,0.5
By Fay Tu Oct,,,,,,,TOTAL COST,,,8.729779092447917
By Fay Tu Oct,,,,,,,DESIRED FOOD COST %,,,0.3
By Fay Tu Oct,,,,,,,DESRIRED MENU PRICE,,,29.099263641493057
By Fay Tu Oct,,,,,,,CURRENT PRICE,,,22,28
By Fay Tu Oct,,,,,,,VARIANCE,,,-7.0992636414930566
By Fay Tu Oct,,,,,,,ACTUAL FOOD COST,,,0.39680814056581437
