__Recipe,RECIPE NAME:,,Pangora By Fay Tu
By Fay Tu Pan,MENU CATEGORY:,,Hot Entrees,,1
By Fay Tu Pan,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
By Fay Tu Pan,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
By Fay Tu Pan,4.7,Oz(w),1,LB,Pangora mix,0.069625,Oz(w),0.3272375,Oz(w),0.3272375
By Fay Tu Pan,0.84,Oz(w),16,Oz(w),Wantan,0.249375,Oz(w),0.209475,Oz(w),0.209475
By Fay Tu Pan,4,Oz(w),25,LB,Avocado,0.115,Oz(w),0.46,Oz(w),0.46
By Fay Tu Pan,0.71,Oz(w),25,LB,Carrot,0.035,Oz(w),0.02485,Oz(w),0.02485
By Fay Tu Pan,0.18,Oz(w),6,LB,Papanabo,0.15625,Oz(w),0.028124999999999997,Oz(w),0.028124999999999997
By Fay Tu Pan,0.18,Oz(w),100,Un,Bambo leaf,0.159,Oz(w),0.02862,Oz(w),0.02862
By Fay Tu Pan,1,Un,1,Un,Cherry tomato,3,Un,3,Un,3
By Fay Tu Pan,0.18,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.26325,Oz(w),0.26325
By Fay Tu Pan,0.08,Oz(w),5,LB,Pepper,1.5550000000000002,Oz(w),0.12440000000000001,Oz(w),0.12440000000000001
By Fay Tu Pan,0.04,Oz(w),25,LB,Salt,0.02875,Oz(w),0.00115,Oz(w),0.00115
By Fay Tu Pan,0.35,Oz(w),25,LB,Persian onion,0.0287,Oz(w),0.010045,Oz(w),0.010045
By Fay Tu Pan,,,,,,,TOTAL INGREDIENT COST,,,4.4771525
By Fay Tu Pan,PROCEDURE:,,,,,,15% Q FACTOR,,,0.44771525
By Fay Tu Pan,,,,,,,RECIPE COST,,,4.92486775
By Fay Tu Pan,,,,,,,PORTION COST,,,0.025650352864583333
By Fay Tu Pan,,,,,,,ADDITIONAL COST,,,0.5
By Fay Tu Pan,,,,,,,TOTAL COST,,,5.450518102864583
By Fay Tu Pan,,,,,,,DESIRED FOOD COST %,,,0.3
By Fay Tu Pan,,,,,,,DESRIRED MENU PRICE,,,18.168393676215278
By Fay Tu Pan,,,,,,,CURRENT PRICE,,,24
By Fay Tu Pan,,,,,,,VARIANCE,,,5.831606323784722
By Fay Tu Pan,,,,,,,ACTUAL FOOD COST,,,0.22710492095269097
