__Recipe,RECIPE NAME:,,Shrimp By Fay Tu
By Fay Tu Sh,MENU CATEGORY:,,Hot Entrees,,1
By Fay Tu Sh,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
By Fay Tu Sh,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
By Fay Tu Sh,4.7,Oz(w),10,LB,shrimp 5160,0.34249999999999997,Oz(w),1.60975,Oz(w),1.60975
By Fay Tu Sh,0.84,Oz(w),16,Oz(w),Wantan,0.249375,Oz(w),0.209475,Oz(w),0.209475
By Fay Tu Sh,4,Oz(w),25,LB,Avocado,0.115,Oz(w),0.46,Oz(w),0.46
By Fay Tu Sh,0.71,Oz(w),25,LB,Carrot,0.035,Oz(w),0.02485,Oz(w),0.02485
By Fay Tu Sh,0.18,Oz(w),6,LB,Papanabo,0.15625,Oz(w),0.028124999999999997,Oz(w),0.028124999999999997
By Fay Tu Sh,0.18,Oz(w),100,Un,Bambo leaf,0.159,Oz(w),0.02862,Oz(w),0.02862
By Fay Tu Sh,1,Un,1,Un,Cherry tomato,3,Un,3,Un,3
By Fay Tu Sh,0.18,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.26325,Oz(w),0.26325
By Fay Tu Sh,0.08,Oz(w),5,LB,Pepper,1.5550000000000002,Oz(w),0.12440000000000001,Oz(w),0.12440000000000001
By Fay Tu Sh,0.04,Oz(w),25,LB,Salt,0.02875,Oz(w),0.00115,Oz(w),0.00115
By Fay Tu Sh,0.35,Oz(w),25,LB,Persian onion,0.0287,Oz(w),0.010045,Oz(w),0.010045
By Fay Tu Sh,,,,,,,TOTAL INGREDIENT COST,,,5.759665
By Fay Tu Sh,PROCEDURE:,,,,,,15% Q FACTOR,,,0.5759665
By Fay Tu Sh,,,,,,,RECIPE COST,,,6.3356315
By Fay Tu Sh,,,,,,,PORTION COST,,,0.032998080729166664
By Fay Tu Sh,,,,,,,ADDITIONAL COST,,,0.5
By Fay Tu Sh,,,,,,,TOTAL COST,,,6.868629580729166
By Fay Tu Sh,,,,,,,DESIRED FOOD COST %,,,0.3
By Fay Tu Sh,,,,,,,DESRIRED MENU PRICE,,,22.895431935763888
By Fay Tu Sh,,,,,,,CURRENT PRICE,,,20,23
By Fay Tu Sh,,,,,,,VARIANCE,,,-2.895431935763888
By Fay Tu Sh,,,,,,,ACTUAL FOOD COST,,,0.3434314790364583
