__Recipe,RECIPE NAME:,,Chirashi sushi
Chirashi sushi,MENU CATEGORY:,,Combinations,,1
Chirashi sushi,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Chirashi sushi,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Chirashi sushi,10.58,Oz(w),200,LB,Sushi rice,0.05,Oz(w),0.529,Oz(w),0.529
Chirashi sushi,1.05,Oz(w),10,LB,Ebi sushi,0.578125,Oz(w),0.60703125,Oz(w),0.60703125
Chirashi sushi,1.06,Oz(w),20,LB,Tuna,0.746875,Oz(w),0.7916875,Oz(w),0.7916875
Chirashi sushi,1.06,Oz(w),22.8,LB,Salmon Noruego,0.71875,Oz(w),0.7618750000000001,Oz(w),0.7618750000000001
Chirashi sushi,1.06,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),0.8579471014492753,Oz(w),0.8579471014492753
Chirashi sushi,0.7,Oz(w),10,LB,Octopus,1.1465,Oz(w),0.80255,Oz(w),0.80255
Chirashi sushi,0.6,Oz(w),176,Oz(v),kanikama,0.6193181818181818,Oz(w),0.371590909090909,Oz(w),0.371590909090909
Chirashi sushi,0.17,Oz(w),12.12,LB,red masago,0.6188118811881188,Oz(w),0.10519801980198021,Oz(w),0.10519801980198021
Chirashi sushi,0.17,Oz(w),4.4,LB,Orange masago,0.5312499999999999,Oz(w),0.09031249999999999,Oz(w),0.09031249999999999
Chirashi sushi,0.17,Oz(w),1,LB,Wasabi Masago,1.25,Oz(w),0.21250000000000002,Oz(w),0.21250000000000002
Chirashi sushi,0.7,Oz(w),11,LB,Unagui,1.3579545454545454,Oz(w),0.9505681818181817,Oz(w),0.9505681818181817
Chirashi sushi,0.88,Oz(w),1.73,Oz(w),Pangora nail small,0.5606936416184971,Oz(w),0.49341040462427743,Oz(w),0.49341040462427743
Chirashi sushi,0.88,,1,LB,cucumber,0.059375,0,0.05225,0,0.05225
Chirashi sushi,1.05,,512,Oz(v),soy sauce,0.11080078125,0,0.1163408203125,0,0.1163408203125
Chirashi sushi,0.28,,5,LB,ginger,0.1875,0,0.052500000000000005,0,0.052500000000000005
Chirashi sushi,0.047,,2.2,LB,Wasabi,0.45312499999999994,0,0.021296874999999996,0,0.021296874999999996
Chirashi sushi,0.07,,18,Un,white sesame,0.5583333333333333,0,0.03908333333333334,0,0.03908333333333334
Chirashi sushi,,,,,,,TOTAL INGREDIENT COST,,,6.855141895430456
Chirashi sushi,,,,,,,15% Q FACTOR,,,0.6855141895430457
Chirashi sushi,,,,,,,RECIPE COST,,,7.540656084973501
Chirashi sushi,,,,,,,PORTION COST,,,0.03927425044257032
Chirashi sushi,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Chirashi sushi,,,,,,,TOTAL COST,,,8.079930335416073
Chirashi sushi,,,,,,,DESIRED FOOD COST %,,,0.3
Chirashi sushi,,,,,,,DESRIRED MENU PRICE,,,26.933101118053578
Chirashi sushi,,,,,,,CURRENT PRICE,,,38
Chirashi sushi,,,,,,,VARIANCE,,,11.066898881946422
Chirashi sushi,,,,,,,ACTUAL FOOD COST,,,0.21262974566884402
