__Recipe,RECIPE NAME:,,Missing purchase quantity of ingredient,,,Missing unitary cost of ingredient,0,-,0,-
D Veg,MENU CATEGORY:,,Combinations,,1
D Veg,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
D Veg,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
D Veg,6,Un,120,Un,dumpling veg,0.4341666666666667,Un,2.6050000000000004,Un,2.6050000000000004
D Veg,2,Un,1,Oz(v),tempura sauce,0.1,Un,0.2,Un,0.2
D Veg,0.07,Un,2,LB,chives,0.5,Un,0.035,Un,0.035
D Veg,1,Un
D Veg,1,Un
D Veg,,,,,,,TOTAL INGREDIENT COST,,,2.8400000000000007
D Veg,,,,,,,15% Q FACTOR,,,0.2840000000000001
D Veg,,,,,,,RECIPE COST,,,3.124000000000001
D Veg,,,,,,,PORTION COST,,,0.01627083333333334
D Veg,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
D Veg,,,,,,,TOTAL COST,,,3.6402708333333345
D Veg,,,,,,,DESIRED FOOD COST %,,,0.3
D Veg,,,,,,,DESRIRED MENU PRICE,,,12.134236111111115
D Veg,,,,,,,CURRENT PRICE,,,18
D Veg,,,,,,,VARIANCE,,,5.8657638888888854
D Veg,,,,,,,ACTUAL FOOD COST,,,0.2022372685185186
D Veg,,,,,,,PVP MENU UBER,,,18
D Veg,,,,,,,COM 25%,,,4.5
D Veg,,,,,,,PVP FINAL,,,13.5
D Veg,,,,,,,MARGEN,,,0.7303503086419753
