__Recipe,RECIPE NAME:,,Fire roll crab
Fire roll crab,MENU CATEGORY:,,Sushi Special rolls Rolls,,1
Fire roll crab,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Fire roll crab,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Fire roll crab,0.035,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00875,Oz(w),0.00875
Fire roll crab,3.52,Oz(w),200,LB,Sushi Rice,0.05,Oz(w),0.17600000000000002,Oz(w),0.17600000000000002
Fire roll crab,0.28,Oz(w),18,LB,Cream Cheese,0.3035069444444444,Oz(w),0.08498194444444444,Oz(w),0.08498194444444444
Fire roll crab,0.035,Oz(w),18,Un,White sesame,0.5583333333333333,Oz(w),0.01954166666666667,Oz(w),0.01954166666666667
Fire roll crab,0.88,Oz(w),25,LB,Avocado,0.115,Oz(w),0.1012,Oz(w),0.1012
Fire roll crab,2.29,Oz(w),10,LB,Surimi,0.2678125,Oz(w),0.613290625,Oz(w),0.613290625
Fire roll crab,0.7,Oz(w),25,LB,Panko,0.118125,Oz(w),0.0826875,Oz(w),0.0826875
Fire roll crab,1.76,Oz(v),1,Oz(v),Flambe sauce,0.2,Oz(v),0.35200000000000004,Oz(v),0.35200000000000004
Fire roll crab,2.82,,1,LB,tempura,0.0825,0,0.23265,0,0.23265
Fire roll crab,,,,,,,TOTAL INGREDIENT COST,,,1.6711017361111113
Fire roll crab,,,,,,,15% Q FACTOR,,,0.16711017361111113
Fire roll crab,,,,,,,RECIPE COST,,,1.8382119097222225
Fire roll crab,,,,,,,PORTION COST,,,0.009574020363136575
Fire roll crab,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Fire roll crab,,,,,,,TOTAL COST,,,2.347785930085359
Fire roll crab,,,,,,,DESIRED FOOD COST %,,,0.3
Fire roll crab,,,,,,,DESRIRED MENU PRICE,,,7.82595310028453
Fire roll crab,,,,,,,CURRENT PRICE,,,21
Fire roll crab,,,,,,,VARIANCE,,,13.17404689971547
Fire roll crab,,,,,,,ACTUAL FOOD COST,,,0.11179933000406471
