__Recipe,RECIPE NAME:,,Guayas
Guayas,MENU CATEGORY:,,Sushi Special rolls Rolls,,1
Guayas,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Guayas,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Guayas,0.035,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00875,Oz(w),0.00875
Guayas,3.52,Oz(w),200,LB,Sushi Rice,0.05,Oz(w),0.17600000000000002,Oz(w),0.17600000000000002
Guayas,1.05,Oz(w),25,LB,Avocado,0.115,Oz(w),0.12075000000000001,Oz(w),0.12075000000000001
Guayas,1.58,Oz(w),10,LB,Surimi,0.2678125,Oz(w),0.42314375000000004,Oz(w),0.42314375000000004
Guayas,0.28,Oz(w),18,LB,Cream Cheese,0.3035069444444444,Oz(w),0.08498194444444444,Oz(w),0.08498194444444444
Guayas,0.7,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),0.56656884057971,Oz(w),0.56656884057971
Guayas,3.52,Oz(w),40,LB,Platano Maduro,0.0671875,Oz(w),0.2365,Oz(w),0.2365
Guayas,0.035,Oz(w),18,Un,White Sesame,0.5583333333333333,Oz(w),0.01954166666666667,Oz(w),0.01954166666666667
Guayas,1.05,Oz(v),1,Oz(v),kimiyaki sauce,0.35,Oz(v),0.3675,Oz(v),0.3675
Guayas,0.7,Oz(w),1.73,Oz(w),pangora nail small,0.5606936416184971,Oz(w),0.392485549132948,Oz(w),0.392485549132948
Guayas,0.07,Oz(w),12.12,LB,Red masago,0.6188118811881188,Oz(w),0.04331683168316832,Oz(w),0.04331683168316832
Guayas,1.05,Oz(v),34,Oz(v),Passion sauce,0.2261764705882353,Oz(v),0.2374852941176471,Oz(v),0.2374852941176471
Guayas,0.35,Oz(v),1,Oz(v),eel sauce,0.49,Oz(v),0.17149999999999999,Oz(v),0.17149999999999999
Guayas,0.17,,50,Un,lettuce,0.72,0,0.12240000000000001,0,0.12240000000000001
Guayas,0.7,,1,LB,tempura,0.0825,0,0.057749999999999996,0,0.057749999999999996
Guayas,,,,,,,TOTAL INGREDIENT COST,,,3.0286738766245844
Guayas,,,,,,,15% Q FACTOR,,,0.30286738766245846
Guayas,,,,,,,RECIPE COST,,,3.331541264287043
Guayas,,,,,,,PORTION COST,,,0.01735177741816168
Guayas,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Guayas,,,,,,,TOTAL COST,,,3.8488930417052045
Guayas,,,,,,,DESIRED FOOD COST %,,,0.3
Guayas,,,,,,,DESRIRED MENU PRICE,,,12.829643472350682
Guayas,,,,,,,CURRENT PRICE,,,19
Guayas,,,,,,,VARIANCE,,,6.170356527649318
Guayas,,,,,,,ACTUAL FOOD COST,,,0.20257331798448444
