__Recipe,RECIPE NAME:,,Hotate Trufado
Hotate Trufado,MENU CATEGORY:,,Sushi,,1
Hotate Trufado,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Hotate Trufado,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Hotate Trufado,0.017,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00425,Oz(w),0.00425
Hotate Trufado,0.63,Oz(w),200,LB,Sushi rice,0.05,Oz(w),0.0315,Oz(w),0.0315
Hotate Trufado,0.7,Oz(w),1,LB,Hotate,1.434375,Oz(w),1.0040624999999999,Oz(w),1.0040624999999999
Hotate Trufado,0.35,Oz(v),8.45,Oz(v),Truffle oil,1.676923076923077,Oz(v),0.5869230769230769,Oz(v),0.5869230769230769
Hotate Trufado,0.035,Oz(w),4.4,LB,orange masago,0.5312499999999999,Oz(w),0.01859375,Oz(w),0.01859375
Hotate Trufado,0.017,,2,LB,chives,0.5,0,0.0085,0,0.0085
Hotate Trufado,0.07,,2.2,LB,wasabi,0.45312499999999994,0,0.03171875,0,0.03171875
Hotate Trufado,0.1,,5,LB,ginger,0.1875,0,0.018750000000000003,0,0.018750000000000003
Hotate Trufado,0.17,,512,Oz(v),soy sauce,0.11080078125,0,0.0188361328125,0,0.0188361328125
Hotate Trufado,,,,,,,TOTAL INGREDIENT COST,,,1.7231342097355766
Hotate Trufado,,,,,,,15% Q FACTOR,,,0.17231342097355767
Hotate Trufado,,,,,,,RECIPE COST,,,1.8954476307091344
Hotate Trufado,,,,,,,PORTION COST,,,0.009872123076610074
Hotate Trufado,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Hotate Trufado,,,,,,,TOTAL COST,,,2.4053197537857445
Hotate Trufado,,,,,,,DESIRED FOOD COST %,,,0.3
Hotate Trufado,,,,,,,DESRIRED MENU PRICE,,,8.01773251261915
Hotate Trufado,,,,,,,CURRENT PRICE,,,8
Hotate Trufado,,,,,,,VARIANCE,,,-0.017732512619149432
Hotate Trufado,,,,,,,ACTUAL FOOD COST,,,0.30066496922321806
