__Recipe,Ingredient,Category,Form,ASU,A,T.Cost,Unitary cost,C/oz
Ingredient Database,Sushi Rice,Asian items,BG,LB,200,240,60,0.05
Ingredient Database,Ebi sushi,Home-made,CS,LB,10,92.5,9.25,0.578125
Ingredient Database,Tuna,Proteins,CS,LB,20,239,11.95,0.746875
Ingredient Database,Salmon Chileno,Proteins,LB,LB,13.4,119.93,8.950000000000001,0.5593750000000001
Ingredient Database,Octopus,Proteins,CS,LB,10,183.44,18.344,1.1465
Ingredient Database,Kanikama,Proteins,OZ,Oz(v),176,109,0.6193181818181818,0.6193181818181818
Ingredient Database,Red masago,Proteins,CS,LB,12.12,120,9.900990099009901,0.6188118811881188
Ingredient Database,Orange masago,Proteins,LB,LB,4.4,37.4,8.499999999999998,0.5312499999999999
Ingredient Database,Unagui,Proteins,CS,LB,11,239,21.727272727272727,1.3579545454545454
Ingredient Database,Pangora nail grande,Proteins,LB,Oz(w),2.86,3.93,1.3741258741258742,1.3741258741258742
Ingredient Database,Gohan Rice,Asian items,BG,LB,50,60,1.2,0.075
Ingredient Database,Special California,Home-made,CT,Un,1,1.9364677338324654,1.9364677338324654,1.9364677338324654
Ingredient Database,Special Anguila,Home-made,CT,Un,1,4.005868454861111,4.005868454861111,4.005868454861111
Ingredient Database,Spicy Tuna,Home-made,CT,Un,1,3.3854178761999587,3.3854178761999587,3.3854178761999587
Ingredient Database,Samurai salmon,Home-made,CT,Un,1,4.102482518084491,4.102482518084491,4.102482518084491
Ingredient Database,Tokio,Home-made,CT,Un,1,3.533862829861111,3.533862829861111,3.533862829861111
Ingredient Database,Hamachi,Proteins,LB,LB,11.35,203.73,17.94977973568282,1.1218612334801763
Ingredient Database,Key lime pie,Groceries,CS,Un,8,25,3.125,3.125
Ingredient Database,Egg,Groceries,CS,Un,180,44.4,0.24666666666666665,0.24666666666666665
Ingredient Database,Sugar,Groceries,BG,LB,50,45.19,0.9037999999999999,0.056487499999999996
Ingredient Database,Caramel,Groceries,CS,Oz(v),204,48.05,0.2355392156862745,0.2355392156862745
Ingredient Database,Peach,Fruits,CS,Oz(v),630,88.82,0.14098412698412696,0.14098412698412696
Ingredient Database,Strawberry,Fruits,CS,LB,1,4.5,4.5,0.28125
Ingredient Database,Edamame,Proteins,LB,LB,20,52,2.6,0.1625
Ingredient Database,French Fries,Groceries,BG,LB,22,27.48,1.249090909090909,0.07806818181818181
Ingredient Database,Carrot,Vegetables,CS,LB,25,14,0.56,0.035
Ingredient Database,Mushroom,Vegetables,LB,LB,2.5,12.95,5.18,0.32375
Ingredient Database,Green pepper,Vegetables,LB,LB,1,2.5,2.5,0.15625
Ingredient Database,Pearl onion,Vegetables,LB,LB,1,1.5,1.5,0.09375
Ingredient Database,Japanese Sauce,Sauces,OZ,Oz(v),33.81,5.14,0.1520260278024253,0.1520260278024253
Ingredient Database,Soy sauce,Sauces,OZ,Oz(v),512,56.73,0.11080078125,0.11080078125
Ingredient Database,Thin loin,Proteins,LB,LB,64,745.6,11.65,0.728125
Ingredient Database,Fried rice,Home-made,CT,Un,1,2.247487458407276,2.247487458407276,2.247487458407276
Ingredient Database,Green zucchini,Vegetables,LB,LB,6,11.7,1.95,0.121875
Ingredient Database,Rice,Groceries,BG,LB,50,60,1.2,0.075
Ingredient Database,White Sesame,Asian items,OZ,Un,18,10.05,0.5583333333333333,0.5583333333333333
Ingredient Database,Lamb,Proteins,CS,LB,27,158.49,5.87,0.366875
Ingredient Database,Red pepper,Vegetables,LB,LB,1,3.25,3.25,0.203125
Ingredient Database,Yellow Zucchini,Vegetables,LB,LB,1,1.95,1.95,0.121875
Ingredient Database,heavy cream,Groceries,CS,Oz(v),384,57.52,0.14979166666666668,0.14979166666666668
Ingredient Database,Eel Sauce,Sauces,OZ,Oz(v),1,0.49,0.49,0.49
Ingredient Database,Ponzu Sauce,Sauces,BG,Oz(v),1,0.216,0.216,0.216
Ingredient Database,Hondashi,Asian items,BG,LB,2,46.8,23.4,1.4625
Ingredient Database,Quinoa,Vegetables,CS,LB,12,59.77,4.980833333333334,0.31130208333333337
Ingredient Database,Asparagus,Vegetables,CS,LB,11,39.75,3.6136363636363638,0.22585227272727273
Ingredient Database,Mussel,Proteins,CS,LB,10,26.47,2.647,0.1654375
Ingredient Database,Shrimp 2125,Proteins,CS,LB,10,63.08,6.308,0.39425
Ingredient Database,Tomato paste,Sauces,CS,LB,42,50.1,1.1928571428571428,0.07455357142857143
Ingredient Database,Langostino bisket,Home-made,CS,LB,12,65.89,5.490833333333334,0.34317708333333335
Ingredient Database,Suimono deep,Home-made,OZ,Oz(v),1,0.03,0.03,0.03
Ingredient Database,Nory Seaweed,Asian items,CS,Un,500,125,0.25,0.25
Ingredient Database,Kanikama Mix,Home-made,OZ,Oz(w),1,0.72,0.72,0.72
Ingredient Database,Octopus Mix,Home-made,OZ,Oz(w),1,1.21,1.21,1.21
Ingredient Database,Black Masago,Proteins,CS,LB,1,24,24,1.5
Ingredient Database,Surimi,Proteins,CS,LB,10,42.85,4.285,0.2678125
Ingredient Database,Uni,Proteins,CS,LB,1,79,79,4.9375
Ingredient Database,Ikura,Proteins,CS,LB,2.2,96.69,43.949999999999996,2.7468749999999997
Ingredient Database,Hotate,Asian items,LB,LB,1,22.95,22.95,1.434375
Ingredient Database,Truffle oil,Oils,CT,Oz(v),8.45,14.17,1.676923076923077,1.676923076923077
Ingredient Database,Platano Maduro,Vegetables,CS,LB,40,43,1.075,0.0671875
Ingredient Database,Pesca Blanca,Proteins,LB,LB,17.25,223.39,12.95014492753623,0.8093840579710144
Ingredient Database,Blu fin toro,Proteins,LB,LB,9.41,536.37,57,3.5625
Ingredient Database,Ebi tempura,Home-made,CS,LB,10,79.28,7.928,0.4955
Ingredient Database,Avocado,Vegetables,CS,LB,25,46,1.84,0.115
Ingredient Database,Panko,Asian items,BG,LB,25,47.25,1.89,0.118125
Ingredient Database,Passion Sauce,Sauces,BG,Oz(v),34,7.69,0.2261764705882353,0.2261764705882353
Ingredient Database,Beetroot,Vegetables,LB,LB,8,16,2,0.125
Ingredient Database,Lettuce,Vegetables,CS,Un,50,36,0.72,0.72
Ingredient Database,Chives,Vegetables,BG,LB,2,16,8,0.5
Ingredient Database,Spicy Mayo,Sauces,BG,Oz(v),17,4.61,0.2711764705882353,0.2711764705882353
Ingredient Database,Cream Cheese,Groceries,CS,LB,18,87.41,4.856111111111111,0.3035069444444444
Ingredient Database,Ebi mix,Home-made,OZ,Oz(v),1,0.82,0.82,0.82
Ingredient Database,Salmon mix,Home-made,OZ,Oz(v),1,0.82,0.82,0.82
Ingredient Database,Lobster,Proteins,LB,LB,9,135,15,0.9375
Ingredient Database,Black sesame,Asian items,CT,Oz(w),19,13.22,0.6957894736842105,0.6957894736842105
Ingredient Database,Flambe sauce,Sauces,OZ,Oz(v),1,0.2,0.2,0.2
Ingredient Database,Kimiyaki sauce,Home-made,OZ,Oz(v),1,0.35,0.35,0.35
Ingredient Database,Tuna Mix,Home-made,OZ,Oz(v),1,0.72,0.72,0.72
Ingredient Database,Orenso sauce,Home-made,OZ,Oz(v),1,0.35,0.35,0.35
Ingredient Database,Wantan,Asian items,CT,Oz(w),16,3.99,0.249375,0.249375
Ingredient Database,Toni Doki oil,Oils,CT,Oz(v),56.1,29.19,0.5203208556149733,0.5203208556149733
Ingredient Database,Orange Sauce,Home-made,OZ,Oz(v),1,0.04,0.04,0.04
Ingredient Database,Wakame,Asian items,CS,LB,17.6,24,1.3636363636363635,0.08522727272727272
Ingredient Database,Chifle,Groceries,OZ,Oz(w),60,40,0.6666666666666666,0.6666666666666666
Ingredient Database,Cevichimi mayo,Home-made,OZ,Oz(v),1,1.75,1.75,1.75
Ingredient Database,Ceviche mix,Home-made,OZ,Oz(v),1,0.32,0.32,0.32
Ingredient Database,Cucumber,Vegetables,LB,LB,1,0.95,0.95,0.059375
Ingredient Database,Teriyaki sauce,Sauces,CS,Oz(v),256,51.34,0.200546875,0.200546875
Ingredient Database,European cucumber,Vegetables,CT,Un,1,0.1,0.1,0.1
Ingredient Database,Seaweed salad,Home-made,LB,LB,17.6,66.99,3.8062499999999995,0.23789062499999997
Ingredient Database,Crunchy wantan,Home-made,CS,LB,24,59.6,2.4833333333333334,0.15520833333333334
Ingredient Database,Mustard Sauce,Home-made,OZ,Oz(v),1,0.24,0.24,0.24
Ingredient Database,Japanese mayo,Home-made,OZ,Oz(v),1,0.37,0.37,0.37
Ingredient Database,Pepper,Groceries,CT,LB,5,124.4,24.880000000000003,1.5550000000000002
Ingredient Database,salt,Groceries,LB,LB,25,11.5,0.46,0.02875
Ingredient Database,Togarashi,Asian items,LB,LB,1.32,15.4,11.666666666666666,0.7291666666666666
Ingredient Database,Ramen deep,Home-made,OZ,Oz(w),1,0.08,0.08,0.08
Ingredient Database,Ramen noddles,Asian items,CS,Oz(w),55,42.4,0.7709090909090909,0.7709090909090909
Ingredient Database,Pork Tenderloin,Proteins,CS,LB,1,6.99,6.99,0.436875
Ingredient Database,Sweet corn,Groceries,CS,LB,20,34,1.7,0.10625
Ingredient Database,Spinach,Vegetables,LB,LB,2.5,7.5,3,0.1875
Ingredient Database,Tenderloin,Proteins,LB,LB,64,768,12,0.75
Ingredient Database,Miso deep,Home-made,OZ,Oz(v),1,0.021,0.021,0.021
Ingredient Database,Tofu,Asian items,CS,Oz(w),129.6,23.2,0.17901234567901234,0.17901234567901234
Ingredient Database,Kombu seaweed,Asian items,BG,Oz(w),192,12,0.0625,0.0625
