__Recipe,RECIPE NAME:,,Kanebi
Kanebi,MENU CATEGORY:,,Sushi Special rolls Rolls,,1
Kanebi,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Kanebi,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Kanebi,0.035,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00875,Oz(w),0.00875
Kanebi,3.52,Oz(w),200,LB,Sushi Rice,0.05,Oz(w),0.17600000000000002,Oz(w),0.17600000000000002
Kanebi,1.58,Oz(w),1,Oz(w),kanikama mix,0.72,Oz(w),1.1376,Oz(w),1.1376
Kanebi,0.7,Oz(w),25,LB,Avocado,0.115,Oz(w),0.0805,Oz(w),0.0805
Kanebi,0.52,Oz(w),10,LB,Octopus,1.1465,Oz(w),0.59618,Oz(w),0.59618
Kanebi,0.7,Oz(w),16,Oz(w),wantan,0.249375,Oz(w),0.1745625,Oz(w),0.1745625
Kanebi,1.41,Oz(w),10,LB,Ebi Tempura,0.4955,Oz(w),0.6986549999999999,Oz(w),0.6986549999999999
Kanebi,0.07,Oz(v),,,Red Masago
Kanebi,1.41,Oz(w),1,Oz(v),Orange Sauce,0.04,Oz(w),0.0564,Oz(w),0.0564
Kanebi,0.035,Oz(w),18,Un,White Sesame,0.5583333333333333,Oz(w),0.01954166666666667,Oz(w),0.01954166666666667
Kanebi,0.017,,19,Oz(w),black sesame,0.6957894736842105,0,0.01182842105263158,0,0.01182842105263158
Kanebi,0.01,,1.32,LB,togarashi,0.7291666666666666,0,0.007291666666666667,0,0.007291666666666667
Kanebi,,,,,,,TOTAL INGREDIENT COST,,,2.9673092543859645
Kanebi,,,,,,,15% Q FACTOR,,,0.29673092543859647
Kanebi,,,,,,,RECIPE COST,,,3.264040179824561
Kanebi,,,,,,,PORTION COST,,,0.01700020926991959
Kanebi,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Kanebi,,,,,,,TOTAL COST,,,3.7810403890944806
Kanebi,,,,,,,DESIRED FOOD COST %,,,0.3
Kanebi,,,,,,,DESRIRED MENU PRICE,,,12.603467963648269
Kanebi,,,,,,,CURRENT PRICE,,,19
Kanebi,,,,,,,VARIANCE,,,6.396532036351731
Kanebi,,,,,,,ACTUAL FOOD COST,,,0.19900212574181478
