__Recipe,RECIPE NAME:,,Kani Seaweed
Kani Seaweed,MENU CATEGORY:,,Salads,,1
Kani Seaweed,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Kani Seaweed,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Kani Seaweed,2.46,Oz(w),50,Un,Lettuce,0.72,Oz(w),1.7711999999999999,Oz(w),1.7711999999999999
Kani Seaweed,2.11,Oz(w),17.6,LB,seaweed salad,0.23789062499999997,Oz(w),0.5019492187499999,Oz(w),0.5019492187499999
Kani Seaweed,1.59,Oz(w),176,Oz(v),kanikama,0.6193181818181818,Oz(w),0.9847159090909091,Oz(w),0.9847159090909091
Kani Seaweed,0.07,Oz(w),12.12,LB,red masago,0.6188118811881188,Oz(w),0.04331683168316832,Oz(w),0.04331683168316832
Kani Seaweed,3.88,Oz(w),25,LB,avocado,0.115,Oz(w),0.4462,Oz(w),0.4462
Kani Seaweed,0.7,Oz(w),24,LB,crunchy wantan,0.15520833333333334,Oz(w),0.10864583333333333,Oz(w),0.10864583333333333
Kani Seaweed,1.76,Oz(v),1,Oz(v),Mustard Sauce,0.24,Oz(v),0.4224,Oz(v),0.4224
Kani Seaweed,0.07,Oz(w),19,Oz(w),Black Sesame,0.6957894736842105,Oz(w),0.04870526315789474,Oz(w),0.04870526315789474
Kani Seaweed,0.56,Oz(w),1,Oz(v),japanese mayo,0.37,Oz(w),0.20720000000000002,Oz(w),0.20720000000000002
Kani Seaweed,0.035,Oz(w),,,Togarashi
Kani Seaweed,,,,,,,TOTAL INGREDIENT COST,,,4.5343330560153055
Kani Seaweed,,,,,,,15% Q FACTOR,,,0.45343330560153056
Kani Seaweed,,,,,,,RECIPE COST,,,4.987766361616836
Kani Seaweed,,,,,,,PORTION COST,,,0.025977949800087687
Kani Seaweed,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Kani Seaweed,,,,,,,TOTAL COST,,,5.513744311416923
Kani Seaweed,,,,,,,DESIRED FOOD COST %,,,0.3
Kani Seaweed,,,,,,,DESRIRED MENU PRICE,,,18.379147704723078
Kani Seaweed,,,,,,,CURRENT PRICE,,,12,18
Kani Seaweed,,,,,,,VARIANCE,,,-6.379147704723078
Kani Seaweed,,,,,,,ACTUAL FOOD COST,,,0.45947869261807694
