__Recipe,RECIPE NAME:,,Missing purchase quantity of ingredient,,,Missing unitary cost of ingredient,0,-,0,-
Korean Ribs,MENU CATEGORY:,,Combinations,,1
Korean Ribs,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Korean Ribs,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Korean Ribs,0.33,Un,36,Un,korean ribs,5.087777777777777,Un,1.6789666666666665,Un,1.6789666666666665
Korean Ribs,2,Un,18.75,LB,sweet chili sauce,0.17523333333333332,Un,0.35046666666666665,Un,0.35046666666666665
Korean Ribs,,,,,,,TOTAL INGREDIENT COST,,,2.029433333333333
Korean Ribs,,,,,,,15% Q FACTOR,,,0.2029433333333333
Korean Ribs,,,,,,,RECIPE COST,,,2.2323766666666662
Korean Ribs,,,,,,,PORTION COST,,,0.011626961805555553
Korean Ribs,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Korean Ribs,,,,,,,TOTAL COST,,,2.7440036284722216
Korean Ribs,,,,,,,DESIRED FOOD COST %,,,0.3
Korean Ribs,,,,,,,DESRIRED MENU PRICE,,,9.146678761574073
Korean Ribs,,,,,,,CURRENT PRICE,,,16,BOGO
Korean Ribs,,,,,,,VARIANCE,,,6.853321238425927
Korean Ribs,,,,,,,ACTUAL FOOD COST,,,0.17150022677951385
Korean Ribs,,,,,,,PVP MENU UBER,,,8
Korean Ribs,,,,,,,COM 25%,,,2
Korean Ribs,,,,,,,PVP FINAL,,,6
Korean Ribs,,,,,,,MARGEN,,,0.5426660619212964
