__Recipe,RECIPE NAME:,,Lamb Osoducco
Lamb osoducco,MENU CATEGORY:,,Main Plate,,1
Lamb osoducco,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Lamb osoducco,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Lamb osoducco,10,Oz(w),27,LB,Lamb,0.366875,Oz(w),3.66875,Oz(w),3.66875
Lamb osoducco,7,Oz(w),50,LB,gohan Rice,0.075,Oz(w),0.525,Oz(w),0.525
Lamb osoducco,1.06,Oz(w),1,LB,Red pepper,0.203125,Oz(w),0.21531250000000002,Oz(w),0.21531250000000002
Lamb osoducco,1.06,Oz(w),2.5,LB,mushroom,0.32375,Oz(w),0.343175,Oz(w),0.343175
Lamb osoducco,1.06,Oz(w),1,LB,yellow zucchini,0.121875,Oz(w),0.1291875,Oz(w),0.1291875
Lamb osoducco,2.11,Oz(w),384,Oz(v),Heavy Cream,0.14979166666666668,Oz(w),0.3160604166666667,Oz(w),0.3160604166666667
Lamb osoducco,0.35,Oz(w),1,Oz(v),eel sauce,0.49,Oz(w),0.17149999999999999,Oz(w),0.17149999999999999
Lamb osoducco,1.05,Oz(w),1,Oz(v),Ponzu Sauce,0.216,Oz(w),0.2268,Oz(w),0.2268
Lamb osoducco,0.07,,2,LB,hondashi,1.4625,0,0.10237500000000001,0,0.10237500000000001
Lamb osoducco,,,,,,,TOTAL INGREDIENT COST,,,5.698160416666669
Lamb osoducco,,,,,,,15% Q FACTOR,,,0.5698160416666669
Lamb osoducco,,,,,,,RECIPE COST,,,6.267976458333336
Lamb osoducco,,,,,,,PORTION COST,,,0.032645710720486124
Lamb osoducco,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Lamb osoducco,,,,,,,TOTAL COST,,,6.800622169053822
Lamb osoducco,,,,,,,DESIRED FOOD COST %,,,0.3
Lamb osoducco,,,,,,,DESRIRED MENU PRICE,,,22.668740563512742
Lamb osoducco,,,,,,,CURRENT PRICE,,,28
Lamb osoducco,,,,,,,VARIANCE,,,5.331259436487258
Lamb osoducco,,,,,,,ACTUAL FOOD COST,,,0.24287936318049366
