__Recipe,RECIPE NAME:,,Lobster
Lobster,MENU CATEGORY:,,Sushi Special rolls Rolls,,1
Lobster,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Lobster,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Lobster,0.035,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00875,Oz(w),0.00875
Lobster,3.17,Oz(w),200,LB,Sushi Rice,0.05,Oz(w),0.1585,Oz(w),0.1585
Lobster,1.05,Oz(w),1,Oz(v),kimiyaki sauce,0.35,Oz(w),0.3675,Oz(w),0.3675
Lobster,0.07,Oz(w),18,Un,White sesame,0.5583333333333333,Oz(w),0.03908333333333334,Oz(w),0.03908333333333334
Lobster,3.17,Oz(w),25,LB,Avocado,0.115,Oz(w),0.36455,Oz(w),0.36455
Lobster,1.05,Oz(w),176,Oz(v),Kanikama,0.6193181818181818,Oz(w),0.6502840909090909,Oz(w),0.6502840909090909
Lobster,1.23,Oz(w),9,LB,Lobster,0.9375,Oz(w),1.153125,Oz(w),1.153125
Lobster,3.53,Oz(v),384,Oz(v),Heavy cream,0.14979166666666668,Oz(v),0.5287645833333333,Oz(v),0.5287645833333333
Lobster,0.035,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.051187500000000004,Oz(w),0.051187500000000004
Lobster,0.35,Oz(w),12,Un,green onion,0.8291666666666666,Oz(w),0.2902083333333333,Oz(w),0.2902083333333333
Lobster,0.07,Oz(w),19,Oz(w),Black sesame,0.6957894736842105,Oz(w),0.04870526315789474,Oz(w),0.04870526315789474
Lobster,0.07,,12.12,LB,red masago,0.6188118811881188,0,0.04331683168316832,0,0.04331683168316832
Lobster,1,,1,Un,vegie side,0.29,0,0.29,0,0.29
Lobster,,,,,,,TOTAL INGREDIENT COST,,,3.9939749357501544
Lobster,,,,,,,15% Q FACTOR,,,0.39939749357501547
Lobster,,,,,,,RECIPE COST,,,4.3933724293251695
Lobster,,,,,,,PORTION COST,,,0.022882148069401923
Lobster,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Lobster,,,,,,,TOTAL COST,,,4.916254577394572
Lobster,,,,,,,DESIRED FOOD COST %,,,0.3
Lobster,,,,,,,DESRIRED MENU PRICE,,,16.387515257981907
Lobster,,,,,,,CURRENT PRICE,,,37
Lobster,,,,,,,VARIANCE,,,20.612484742018093
Lobster,,,,,,,ACTUAL FOOD COST,,,0.1328717453349884
