__Recipe,RECIPE NAME:,,Maki Tartar
Maki Tartar,MENU CATEGORY:,,Cold Entrees,,1
Maki Tartar,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Maki Tartar,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Maki Tartar,3.53,Oz(w),200,LB,Sushi rice,0.05,Oz(w),0.1765,Oz(w),0.1765
Maki Tartar,0.71,Oz(w),1,Oz(v),tuna mix,0.72,Oz(w),0.5112,Oz(w),0.5112
Maki Tartar,0.71,Oz(w),1,Oz(v),salmon mix,0.82,Oz(w),0.5821999999999999,Oz(w),0.5821999999999999
Maki Tartar,0.71,Oz(w),1,Oz(w),octopus mix,1.21,Oz(w),0.8591,Oz(w),0.8591
Maki Tartar,0.035,Oz(w),12.12,LB,Red Masago,0.6188118811881188,Oz(w),0.02165841584158416,Oz(w),0.02165841584158416
Maki Tartar,0.035,Oz(w),4.4,LB,Orange masago,0.5312499999999999,Oz(w),0.01859375,Oz(w),0.01859375
Maki Tartar,0.035,Oz(w),1,LB,Wasabi Masago,1.25,Oz(w),0.043750000000000004,Oz(w),0.043750000000000004
Maki Tartar,0.35,Oz(w),2,LB,Chives,0.5,Oz(w),0.175,Oz(w),0.175
Maki Tartar,1.06,Oz(w),25,LB,Avocado,0.115,Oz(w),0.12190000000000001,Oz(w),0.12190000000000001
Maki Tartar,0.71,Oz(w),19,Oz(w),Black Sesame,0.6957894736842105,Oz(w),0.49401052631578946,Oz(w),0.49401052631578946
Maki Tartar,0.71,Oz(w),18,Un,White Sesame,0.5583333333333333,Oz(w),0.39641666666666664,Oz(w),0.39641666666666664
Maki Tartar,1.69,Oz(v),35,LB,Oil,0.054589285714285715,Oz(v),0.09225589285714286,Oz(v),0.09225589285714286
Maki Tartar,,,,,,,TOTAL INGREDIENT COST,,,3.4925852516811826
Maki Tartar,PROCEDURE:,,,,,,15% Q FACTOR,,,0.3492585251681183
Maki Tartar,,,,,,,RECIPE COST,,,3.841843776849301
Maki Tartar,,,,,,,PORTION COST,,,0.02000960300442344
Maki Tartar,,,,,,,ADDITIONAL COST,,,0.5
Maki Tartar,,,,,,,TOTAL COST,,,4.361853379853724
Maki Tartar,,,,,,,DESIRED FOOD COST %,,,0.3
Maki Tartar,,,,,,,DESRIRED MENU PRICE,,,14.53951126617908
Maki Tartar,,,,,,,CURRENT PRICE,,,18,19
Maki Tartar,,,,,,,VARIANCE,,,3.4604887338209203
Maki Tartar,,,,,,,ACTUAL FOOD COST,,,0.2423251877696513
