__Recipe,RECIPE NAME:,,Mizu Tako
Mizu Tako,MENU CATEGORY:,,Hot Entrees,,1
Mizu Tako,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Mizu Tako,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Mizu Tako,5.29,Oz(w),10,LB,Octopus,1.1465,Oz(w),6.064985,Oz(w),6.064985
Mizu Tako,1.41,Oz(w),25,LB,Carrot,0.035,Oz(w),0.049350000000000005,Oz(w),0.049350000000000005
Mizu Tako,1.41,Oz(w),6,LB,Green zucchini,0.121875,Oz(w),0.17184375,Oz(w),0.17184375
Mizu Tako,1.41,Oz(w),1,LB,Red Pepper,0.203125,Oz(w),0.28640625,Oz(w),0.28640625
Mizu Tako,0.18,Oz(w),1,LB,Pearl onion,0.09375,Oz(w),0.016875,Oz(w),0.016875
Mizu Tako,0.18,Oz(w),5,LB,Ginger,0.1875,Oz(w),0.03375,Oz(w),0.03375
Mizu Tako,0.34,Oz(v),35,LB,Oil,0.054589285714285715,Oz(v),0.018560357142857146,Oz(v),0.018560357142857146
Mizu Tako,1.76,Oz(w),1,Oz(v),Bechamel Sauce,0.027,Oz(w),0.04752,Oz(w),0.04752
Mizu Tako,4.08,Oz(v),1,Oz(v),Suimono Deep,0.03,Oz(v),0.1224,Oz(v),0.1224
Mizu Tako,0.18,Oz(w),2,LB,Chives,0.5,Oz(w),0.09,Oz(w),0.09
Mizu Tako,0.35,Oz(w),2,LB,Parsley,0.35625,Oz(w),0.12468749999999999,Oz(w),0.12468749999999999
Mizu Tako,0.08,Oz(v),1,Oz(v),Ponzu Sauce,0.216,Oz(v),0.01728,Oz(v),0.01728
Mizu Tako,,,,,,,TOTAL INGREDIENT COST,,,7.043657857142858
Mizu Tako,PROCEDURE:,,,,,,15% Q FACTOR,,,0.7043657857142858
Mizu Tako,,,,,,,RECIPE COST,,,7.748023642857143
Mizu Tako,,,,,,,PORTION COST,,,0.04035428980654762
Mizu Tako,,,,,,,ADDITIONAL COST,,,0.5
Mizu Tako,,,,,,,TOTAL COST,,,8.28837793266369
Mizu Tako,,,,,,,DESIRED FOOD COST %,,,0.3
Mizu Tako,,,,,,,DESRIRED MENU PRICE,,,27.627926442212303
Mizu Tako,,,,,,,CURRENT PRICE,,,22,28
Mizu Tako,,,,,,,VARIANCE,,,-5.627926442212303
Mizu Tako,,,,,,,ACTUAL FOOD COST,,,0.3767444514847132
