__Recipe,RECIPE NAME:,,Nubori
Nubori,MENU CATEGORY:,,Sushi Special rolls Rolls,,1
Nubori,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Nubori,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Nubori,0.035,Oz(w),500,Un,Nory Seaweed,0.25,Oz(w),0.00875,Oz(w),0.00875
Nubori,3.52,Oz(w),200,LB,Sushi Rice,0.05,Oz(w),0.17600000000000002,Oz(w),0.17600000000000002
Nubori,1.58,Oz(w),1,Oz(w),Kanikama mix,0.72,Oz(w),1.1376,Oz(w),1.1376
Nubori,3.88,Oz(w),25,LB,Avocado,0.115,Oz(w),0.4462,Oz(w),0.4462
Nubori,0.28,Oz(w),18,LB,Cream Cheese,0.3035069444444444,Oz(w),0.08498194444444444,Oz(w),0.08498194444444444
Nubori,0.7,Oz(w),11,LB,Unagui,1.3579545454545454,Oz(w),0.9505681818181817,Oz(w),0.9505681818181817
Nubori,1.58,Oz(w),10,LB,Ebi Tempura,0.4955,Oz(w),0.78289,Oz(w),0.78289
Nubori,0.68,Oz(v),1,Oz(v),Orenso sauce,0.35,Oz(v),0.238,Oz(v),0.238
Nubori,0.07,Oz(w),12.12,LB,Red Masago,0.6188118811881188,Oz(w),0.04331683168316832,Oz(w),0.04331683168316832
Nubori,0.68,Oz(v),1,Oz(v),eel sauce,0.49,Oz(v),0.3332,Oz(v),0.3332
Nubori,0.035,Oz(w),18,Un,White Sesame,0.5583333333333333,Oz(w),0.01954166666666667,Oz(w),0.01954166666666667
Nubori,,,,,,,TOTAL INGREDIENT COST,,,4.221048624612462
Nubori,,,,,,,15% Q FACTOR,,,0.42210486246124623
Nubori,,,,,,,RECIPE COST,,,4.643153487073708
Nubori,,,,,,,PORTION COST,,,0.024183091078508898
Nubori,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Nubori,,,,,,,TOTAL COST,,,5.167336578152217
Nubori,,,,,,,DESIRED FOOD COST %,,,0.3
Nubori,,,,,,,DESRIRED MENU PRICE,,,17.22445526050739
Nubori,,,,,,,CURRENT PRICE,,,24
Nubori,,,,,,,VARIANCE,,,6.775544739492609
Nubori,,,,,,,ACTUAL FOOD COST,,,0.2153056907563424
