__Recipe,,Table 1,Array 1,Table 3,Table 4,Table 5,Ingredient,Category,Form,ASU,A,T.Cost,Unitary cost,C/oz,RECIPE NAME:,Missing purchase quantity of ingredient,Missing unitary cost of ingredient,0,-,D,Chirashi sushi,Sashimi platter,Bonsai Kaiko,Bonsai Sushi 12,Bonsai Rolls 20,BENTO 15,BENTO 18,Blu fin toro.S,Salmon.S,Tuna.S,Hamachi,Tarta Vasca,Mochis,Chocolate Cake,Key lime Pie,Monte Fuji,Edamame,Mashed Poatatoes,Truffle Fries,Fried Rice,Tenderloin Kuban,Skirt Steak,Lamb Osoducco,Salmon Reisui,Sea food katsura,Gunkan Taco,Gunkan Sake,Gunkan Ebi,Gunkan Kani,Sushi Toki,Gunkan uni,Gunkan Ikura,Gukan Arcoiris,Hotate Trufado,Negui Hama,Iku sake,Makano,Pesca Blanca,Blu fin toro,Tuna,Hand Roll Saslmon,Hand Roll Hamachi,Hand Roll Tuna,Passion roll,Butter Truffle Roll,Pangora Especial,Cumbaya,Spicy tuna,Samurai ebi,Samurai Salmon,Lobster,Fire roll crab,Tokio,Guayas,Noe Special,Special Tuna,Nubori,Kanebi,Ebi Zu,Cevichihi,Kani Kiuri Maki,Tuna Light,Kani Maguro,Sake Kani Special,Special Philadelphia,Special California,Eel Especial,Teka Maki,Sake maki,Piladelphia,Calirfornia,Hiyashi Wakame,Kani Seaweed,Pork tenderloin Ramen,Beef tenderloin Ramen,Miso Soup,Kamasuki Soup,Sumashi Soup,Pork Tacos,Truffled Dompling,Mizu Tako,Pangora By Fay Tu,Shrimp By Fay Tu,Octopus By Fay Tu,Sake Foie,Tuna Foie,Fresh Oysters,Maki Tartar,Tuna Tartar,Toni Doki,Hamachi Jalapeño,Noe Tataki
Guides,,Menu categories,Item category,AS units,Abbreviation,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guides,,Cold Entrees,Proteins,LB,LB,Proteins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guides,,Hot Entrees,Vegetables,Oz(v),CS,Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient Database,,,,,,,Sushi Rice,Asian items,BG,LB,200,240,60,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient Database,,,,,,,Ebi sushi,Home-made,CS,LB,10,92.5,9.25,0.578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredient Database,,,,,,,Tuna,Proteins,CS,LB,20,239,11.95,0.746875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein special,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein special,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein special,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chef Lo Mein shrimp,1,,,,,,,,,,,,,,MENU CATEGORY:,Combinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
