__Recipe,RECIPE NAME:,,Pork tenderloin Ramen
P.Ramen ,MENU CATEGORY:,,Hot Entrees,,1
P.Ramen ,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
P.Ramen ,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
P.Ramen ,13.53,Oz(v),1,Oz(w),Ramen deep,0.08,Oz(v),1.0824,Oz(v),1.0824
P.Ramen ,2.82,Oz(w),55,Oz(w),Ramen noddles,0.7709090909090909,Oz(w),2.173963636363636,Oz(w),2.173963636363636
P.Ramen ,2.47,Oz(w),1,LB,Pork Tenderloin,0.436875,Oz(w),1.0790812500000002,Oz(w),1.0790812500000002
P.Ramen ,0.04,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.058499999999999996,Oz(w),0.058499999999999996
P.Ramen ,0.04,Oz(w),1.32,LB,Togarashi,0.7291666666666666,Oz(w),0.029166666666666667,Oz(w),0.029166666666666667
P.Ramen ,0.53,Oz(w),25,LB,Carrot,0.035,Oz(w),0.018550000000000004,Oz(w),0.018550000000000004
P.Ramen ,0.53,Oz(w),6,LB,Green Zucchini,0.121875,Oz(w),0.06459375,Oz(w),0.06459375
P.Ramen ,0.28,Oz(w),20,LB,Sweet corn,0.10625,Oz(w),0.029750000000000002,Oz(w),0.029750000000000002
P.Ramen ,0.28,Oz(w),2.5,LB,Mushroom,0.32375,Oz(w),0.09065000000000001,Oz(w),0.09065000000000001
P.Ramen ,0.18,Oz(w),2,LB,Chives,0.5,Oz(w),0.09,Oz(w),0.09
P.Ramen ,0.18,Oz(w),2.5,LB,Spinach,0.1875,Oz(w),0.03375,Oz(w),0.03375
P.Ramen ,0.18,Oz(w),5,LB,bean sprout,0.1375,Oz(w),0.02475,Oz(w),0.02475
P.Ramen ,0.5,Un,180,Un,Egg,0.24666666666666665,Un,0.12333333333333332,Un,0.12333333333333332
P.Ramen ,,,,,,,TOTAL INGREDIENT COST,,,4.898488636363637
P.Ramen ,,,,,,,15% Q FACTOR,,,0.4898488636363637
P.Ramen ,,,,,,,RECIPE COST,,,5.3883375000000004
P.Ramen ,,,,,,,PORTION COST,,,0.028064257812500003
P.Ramen ,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
P.Ramen ,,,,,,,TOTAL COST,,,5.9164017578125
P.Ramen ,,,,,,,DESIRED FOOD COST %,,,0.3
P.Ramen ,,,,,,,DESRIRED MENU PRICE,,,19.721339192708335
P.Ramen ,,,,,,,CURRENT PRICE,,,19,21
P.Ramen ,,,,,,,VARIANCE,,,-0.721339192708335
P.Ramen ,,,,,,,ACTUAL FOOD COST,,,0.3113895662006579
