__Recipe,RECIPE NAME:,,Salmon Reisui
Salmon Reisui,MENU CATEGORY:,,Main Plate,,1
Salmon Reisui,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Salmon Reisui,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Salmon Reisui,5.64,Oz(w),13.4,LB,Salmon chileno,0.5593750000000001,Oz(w),3.154875,Oz(w),3.154875
Salmon Reisui,5.29,Oz(w),50,LB,gohan Rice,0.075,Oz(w),0.39675,Oz(w),0.39675
Salmon Reisui,1.76,Oz(w),2.5,LB,Mushroom,0.32375,Oz(w),0.5698,Oz(w),0.5698
Salmon Reisui,2.76,Oz(w),384,Oz(v),heavy cream,0.14979166666666668,Oz(w),0.41342500000000004,Oz(w),0.41342500000000004
Salmon Reisui,0.1,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.14625,Oz(w),0.14625
Salmon Reisui,1.06,Oz(w),12,LB,Quinoa,0.31130208333333337,Oz(w),0.3299802083333334,Oz(w),0.3299802083333334
Salmon Reisui,1.05,Oz(w),11,LB,Asparagus,0.22585227272727273,Oz(w),0.23714488636363637,Oz(w),0.23714488636363637
Salmon Reisui,1,Oz(w),25,LB,Carrot,0.035,Oz(w),0.035,Oz(w),0.035
Salmon Reisui,1,Oz(w),6,LB,Green zucchini,0.121875,Oz(w),0.121875,Oz(w),0.121875
Salmon Reisui,1,,1,LB,red pepper,0.203125,0,0.203125,0,0.203125
Salmon Reisui,,,,,,,TOTAL INGREDIENT COST,,,5.608225094696971
Salmon Reisui,,,,,,,15% Q FACTOR,,,0.5608225094696971
Salmon Reisui,,,,,,,RECIPE COST,,,6.169047604166669
Salmon Reisui,,,,,,,PORTION COST,,,0.0321304562717014
Salmon Reisui,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Salmon Reisui,,,,,,,TOTAL COST,,,6.70117806043837
Salmon Reisui,,,,,,,DESIRED FOOD COST %,,,0.3
Salmon Reisui,,,,,,,DESRIRED MENU PRICE,,,22.337260201461234
Salmon Reisui,,,,,,,CURRENT PRICE,,,29
Salmon Reisui,,,,,,,VARIANCE,,,6.662739798538766
Salmon Reisui,,,,,,,ACTUAL FOOD COST,,,0.2310751055323576
