__Recipe,RECIPE NAME:,,Skirt Steak,,,Missing unitary cost of ingredient,0,-,0,-
Skirt Steak,MENU CATEGORY:,,Main Plate,,1
Skirt Steak,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Skirt Steak,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Skirt Steak,8,Oz(w),1,LB,skirt steak,0.874375,Oz(w),6.995,Oz(w),6.995
Skirt Steak,1,Oz(w),1,Un,mashed potato,1.1046956380208335,Oz(w),1.1046956380208335,Oz(w),1.1046956380208335
Skirt Steak,2.11,Oz(w),384,Oz(v),heavy cream,0.14979166666666668,Oz(w),0.3160604166666667,Oz(w),0.3160604166666667
Skirt Steak,1.05,Oz(w),25,LB,carrot,0.035,Oz(w),0.036750000000000005,Oz(w),0.036750000000000005
Skirt Steak,1.05,Oz(w),11,LB,asparagus,0.22585227272727273,Oz(w),0.23714488636363637,Oz(w),0.23714488636363637
Skirt Steak,0.07,Oz(w),2,LB,chives,0.5,Oz(w),0.035,Oz(w),0.035
Skirt Steak,0.07,Oz(w),8,Oz(w),micro cilantro,2.9375,Oz(w),0.20562500000000003,Oz(w),0.20562500000000003
Skirt Steak,0.17,Oz(v),8.45,Oz(v),truffle oil,1.676923076923077,Oz(v),0.2850769230769231,Oz(v),0.2850769230769231
Skirt Steak,,,,,,,TOTAL INGREDIENT COST,,,9.215352864128057
Skirt Steak,,,,,,,15% Q FACTOR,,,0.9215352864128058
Skirt Steak,,,,,,,RECIPE COST,,,10.136888150540862
Skirt Steak,,,,,,,PORTION COST,,,0.05279629245073366
Skirt Steak,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Skirt Steak,,,,,,,TOTAL COST,,,10.689684442991595
Skirt Steak,,,,,,,DESIRED FOOD COST %,,,0.3
Skirt Steak,,,,,,,DESRIRED MENU PRICE,,,35.63228147663865
Skirt Steak,,,,,,,CURRENT PRICE,,,32,34
Skirt Steak,,,,,,,VARIANCE,,,-3.632281476638653
Skirt Steak,,,,,,,ACTUAL FOOD COST,,,0.33405263884348735
