__Recipe,RECIPE NAME:,,Sumashi Soup
Sumashi Soup,MENU CATEGORY:,,Hot Entrees,,1
Sumashi Soup,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Sumashi Soup,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Sumashi Soup,1.06,Oz(w),10,LB,Shrimp 2125,0.39425,Oz(w),0.417905,Oz(w),0.417905
Sumashi Soup,0.88,Oz(w),10,LB,Squid,0.44025,Oz(w),0.38742,Oz(w),0.38742
Sumashi Soup,0.7,Oz(w),10,LB,Octopus,1.1465,Oz(w),0.80255,Oz(w),0.80255
Sumashi Soup,0.7,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),0.56656884057971,Oz(w),0.56656884057971
Sumashi Soup,0.88,Oz(w),1.73,Oz(w),Pangora nail small,0.5606936416184971,Oz(w),0.49341040462427743,Oz(w),0.49341040462427743
Sumashi Soup,0.07,Oz(w),12,Un,Green Onion,0.8291666666666666,Oz(w),0.058041666666666665,Oz(w),0.058041666666666665
Sumashi Soup,0.07,Oz(w),5,LB,Ginger,0.1875,Oz(w),0.013125000000000001,Oz(w),0.013125000000000001
Sumashi Soup,0.07,Oz(w),4,LB,Aji fresno,0.621875,Oz(w),0.04353125,Oz(w),0.04353125
Sumashi Soup,9,Oz(w),1,Oz(v),Bechamel Sauce,0.027,Oz(w),0.243,Oz(w),0.243
Sumashi Soup,8,Oz(v),1,Oz(v),Suimono Deep,0.03,Oz(v),0.24,Oz(v),0.24
Sumashi Soup,0.035,Oz(w),5,LB,Pepper,1.5550000000000002,Oz(w),0.05442500000000001,Oz(w),0.05442500000000001
Sumashi Soup,0.035,Oz(w),25,LB,Salt,0.02875,Oz(w),0.0010062500000000002,Oz(w),0.0010062500000000002
Sumashi Soup,0.07,Oz(w),2,LB,Hondashi,1.4625,Oz(w),0.10237500000000001,Oz(w),0.10237500000000001
Sumashi Soup,0.07,Oz(w),1.32,LB,Togarashi,0.7291666666666666,Oz(w),0.051041666666666666,Oz(w),0.051041666666666666
Sumashi Soup,0.07,Oz(w),2,LB,Parsley,0.35625,Oz(w),0.024937500000000005,Oz(w),0.024937500000000005
Sumashi Soup,,,,,,,TOTAL INGREDIENT COST,,,3.4993375785373213
Sumashi Soup,,,,,,,15% Q FACTOR,,,0.34993375785373215
Sumashi Soup,,,,,,,RECIPE COST,,,3.8492713363910536
Sumashi Soup,,,,,,,PORTION COST,,,0.02004828821037007
Sumashi Soup,PROCEDURE:,,,,,,ADDITIONAL COST,,,0.5
Sumashi Soup,,,,,,,TOTAL COST,,,4.369319624601424
Sumashi Soup,,,,,,,DESIRED FOOD COST %,,,0.3
Sumashi Soup,,,,,,,DESRIRED MENU PRICE,,,14.564398748671413
Sumashi Soup,,,,,,,CURRENT PRICE,,,18
Sumashi Soup,,,,,,,VARIANCE,,,3.4356012513285865
Sumashi Soup,,,,,,,ACTUAL FOOD COST,,,0.24273997914452355
