__Recipe,RECIPE NAME:,,Toni Doki
Toni Doki,MENU CATEGORY:,,Cold Entrees,,1
Toni Doki,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Toni Doki,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Toni Doki,1,Un,1,Un,Crunchy Vegetables,0.33,Un,0.33,Un,0.33
Toni Doki,1.41,Oz(w),22.8,LB,salmon noruego,0.71875,Oz(w),1.0134375,Oz(w),1.0134375
Toni Doki,1.41,Oz(w),20,LB,Tuna,0.746875,Oz(w),1.05309375,Oz(w),1.05309375
Toni Doki,0.1,Oz(w),2,LB,Chives,0.5,Oz(w),0.05,Oz(w),0.05
Toni Doki,0.1,Oz(w),5,LB,Ginger,0.1875,Oz(w),0.018750000000000003,Oz(w),0.018750000000000003
Toni Doki,0.035,Oz(w),18,Un,white Sesame,0.5583333333333333,Oz(w),0.01954166666666667,Oz(w),0.01954166666666667
Toni Doki,0.42,Oz(v),56.1,Oz(v),Toni Doki Oil,0.5203208556149733,Oz(v),0.21853475935828878,Oz(v),0.21853475935828878
Toni Doki,1.41,Oz(w),1,Oz(v),Ponzu Sauce,0.216,Oz(w),0.30456,Oz(w),0.30456
Toni Doki,2.2,Oz(w),8,LB,Potato,0.078125,Oz(w),0.171875,Oz(w),0.171875
Toni Doki,1.41,Oz(w),17.25,LB,pesca blanca,0.8093840579710144,Oz(w),1.1412315217391302,Oz(w),1.1412315217391302
Toni Doki,,,,,,-
Toni Doki,,,,,,-
Toni Doki,,,,,,-
Toni Doki,,,,,,,TOTAL INGREDIENT COST,,,4.321024197764085
Toni Doki,PROCEDURE:,,,,,,15% Q FACTOR,,,0.4321024197764085
Toni Doki,,,,,,,RECIPE COST,,,4.753126617540493
Toni Doki,,,,,,,PORTION COST,,,0.02475586779969007
Toni Doki,,,,,,,ADDITIONAL COST,,,0.5
Toni Doki,,,,,,,TOTAL COST,,,5.277882485340183
Toni Doki,,,,,,,DESIRED FOOD COST %,,,0.3
Toni Doki,,,,,,,DESRIRED MENU PRICE,,,17.592941617800612
Toni Doki,,,,,,,CURRENT PRICE,,,19,22
Toni Doki,,,,,,,VARIANCE,,,1.4070583821993878
Toni Doki,,,,,,,ACTUAL FOOD COST,,,0.2777832887021149
