__Recipe,RECIPE NAME:,,Truffled Dompling
Truffled Dompling,MENU CATEGORY:,,Hot Entrees,,1
Truffled Dompling,RECIPE,,AS PURCHASED,,,INVOICE,,RECIPE,,INDIVIDUAL
Truffled Dompling,QTY,UNIT,QTY,UNIT,INGREDIENT,COST,UNIT,COST,UNIT,INGREDIENT COST
Truffled Dompling,2.12,Oz(w),1,LB,Pangora mix,0.069625,Oz(w),0.14760500000000001,Oz(w),0.14760500000000001
Truffled Dompling,2.12,Oz(w),10,LB,Octopus,1.1465,Oz(w),2.4305800000000004,Oz(w),2.4305800000000004
Truffled Dompling,0.07,Oz(w),336,Oz(w),Palm,0.20029761904761903,Oz(w),0.014020833333333333,Oz(w),0.014020833333333333
Truffled Dompling,0.07,Oz(w),4,LB,Aji fresno,0.621875,Oz(w),0.04353125,Oz(w),0.04353125
Truffled Dompling,0.07,Oz(w),1,LB,Cilantro,0.46875,Oz(w),0.0328125,Oz(w),0.0328125
Truffled Dompling,0.07,Oz(w),5,LB,Ginger,0.1875,Oz(w),0.013125000000000001,Oz(w),0.013125000000000001
Truffled Dompling,0.25,Oz(w),165,LB,Lemon,0.014393939393939395,Oz(w),0.0035984848484848487,Oz(w),0.0035984848484848487
Truffled Dompling,0.035,Oz(w),5,LB,Pepper,1.5550000000000002,Oz(w),0.05442500000000001,Oz(w),0.05442500000000001
Truffled Dompling,0.035,Oz(w),25,LB,Salt,0.02875,Oz(w),0.0010062500000000002,Oz(w),0.0010062500000000002
Truffled Dompling,0.07,Oz(w),8.45,Oz(v),Truffle oil,1.676923076923077,Oz(w),0.11738461538461539,Oz(w),0.11738461538461539
Truffled Dompling,0.07,Oz(v),8,Oz(w),Micro Cilantro,2.9375,Oz(v),0.20562500000000003,Oz(v),0.20562500000000003
Truffled Dompling,1.1,Oz(w),16,Oz(w),Wantan leaf,0.249375,Oz(w),0.2743125,Oz(w),0.2743125
Truffled Dompling,0.68,Oz(v),56,Oz(v),Sesame Oil,0.5485714285714286,Oz(v),0.3730285714285715,Oz(v),0.3730285714285715
Truffled Dompling,0.18,Oz(w),1,Un,Cherry Tomato,3,Oz(w),0.54,Oz(w),0.54
Truffled Dompling,0.07,Oz(w),6,LB,Green zucchini,0.121875,Oz(w),0.00853125,Oz(w),0.00853125
Truffled Dompling,0.07,Oz(w),1,LB,Yellow zucchini,0.121875,Oz(w),0.00853125,Oz(w),0.00853125
Truffled Dompling,0.07,Oz(w),1,LB,Red pepper,0.203125,Oz(w),0.014218750000000002,Oz(w),0.014218750000000002
Truffled Dompling,1.01,Oz(v),1,Oz(v),Tempura sauce,0.1,Oz(v),0.101,Oz(v),0.101
Truffled Dompling,,,,,,,TOTAL INGREDIENT COST,,,1.8051512549950053
Truffled Dompling,,,,,,,15% Q FACTOR,,,0.18051512549950055
Truffled Dompling,PROCEDURE:,,,,,,RECIPE COST,,,1.9856663804945058
Truffled Dompling,,,,,,,PORTION COST,,,0.010342012398408885
Truffled Dompling,,,,,,,ADDITIONAL COST,,,0.5
Truffled Dompling,,,,,,,TOTAL COST,,,2.4960083928929144
Truffled Dompling,,,,,,,DESIRED FOOD COST %,,,0.3
Truffled Dompling,,,,,,,DESRIRED MENU PRICE,,,8.320027976309715
Truffled Dompling,,,,,,,CURRENT PRICE,,,16
Truffled Dompling,,,,,,,VARIANCE,,,7.679972023690285
Truffled Dompling,,,,,,,ACTUAL FOOD COST,,,0.15600052455580715
